Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.093858,0.12633,0.21897,0,0,0,1.3642,0.006457,1.2994E-06,2.2481E-08,0.010326,7.3921E-06,0.0061127,0,0,0,0,0,0,package://URDF Export/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Export/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.020212,0.041371,-0.0052931,0,0,0,0.13194,0.0001026,-4.4981E-05,1.9288E-06,9.8208E-05,1.7697E-06,0.00014958,0,0,0,0,0,0,package://URDF Export/meshes/Link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Export/meshes/Link_1.STL,,Link_1-1,Origin_Joint_0,Axis_Joint_0,Joint_0,continuous,0.061602,-0.21942,0.15614,1.5708,0,-0.069291,base_link,0,1,0,0,0,0,0,,,,,,,,
Link_2,0.049842,-0.087123,0.0145,0,0,0,0.1551,0.00045958,0.00024247,7.4969E-06,0.00016514,-1.1711E-05,0.00061443,0,0,0,0,0,0,package://URDF Export/meshes/Link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Export/meshes/Link_2.STL,,Link_2-1,Origin_Joint_1,Axis_Joint_1,Joint_1,continuous,0.050169,0.074195,-0.0024231,-0.0021329,-0.096474,-3.0974,Link_1,0.048242,0,0.99884,,,,,,,,,,,,
Link_3,0.056834,-0.0055759,-0.0081581,0,0,0,0.14369,3.1173E-05,1.564E-05,1.582E-05,0.00020478,-1.3793E-06,0.00021814,0,0,0,0,0,0,package://URDF Export/meshes/Link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Export/meshes/Link_3.STL,,Link_3.-1,Origin_Joint_2,Axis_Joint_2,Joint_2,continuous,0.098056,-0.17425,-0.0047359,-0.0011961,-0.096506,-3.1168,Link_2,0.048242,0,0.99884,,,,,,,,,,,,
Link_4,0.0408607169742835,-0.00388673710064014,-0.00162798866586814,0,0,0,0.0383846470880527,7.39531771506327E-06,6.29470932762514E-07,4.00920380495191E-07,1.39446878284893E-05,-9.33672780612939E-09,1.89049583807687E-05,0,0,0,0,0,0,package://URDF Export/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF Export/meshes/Link_4.STL,,Link_4-1,Origin_Joint_3,Axis_Joint_3,Joint_3,continuous,0.14561,-0.01387,-0.010114,-0.0078276,0.00074645,0.00037515,Link_3,0.99435,-0.094634,-0.048025,,,,,,,,,,,,
End_effector,0.001529,-0.05263,0.018807,0,0,0,0.019695,1.1324E-05,-6.6347E-07,1.0907E-07,1.7645E-06,1.0472E-06,1.2014E-05,0,0,0,0,0,0,package://URDF Export/meshes/End_effector.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Export/meshes/End_effector.STL,,End_Effector-1,Origin_Joint_4,Axis_Joint_4,Joint_4,continuous,0.049718,-0.0047317,-0.0024013,-0.0015344,-6.3808E-05,-0.031709,Link_4,0.04836,0.0012435,0.99883,,,,,,,,,,,,
